Mã khách hàng,Tên khách hàng,Channel,Customer Group,Customer Group 1,Customer Group 2,Sale Group
3S,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ XUẤT NHẬP KHẨU 3S,Others,Other,Other,Other,Other
ANHTHANHQ8,ANH THANH - QUẬN 8,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
0317051028,CÔNG TY TNHH FU FOOD,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
DAILONG,"Người mua không cung cấp tên, địa chỉ, mã số thuế",Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
MEGABINHPHU,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM ),Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
MEGAANPHU,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM ),Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
MEGAHIEPPHU,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM ),Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
MEGAHUNGPHU,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM ),Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
MEGAKHO50,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM ),Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
COOPMARTCAOTHANG,CÔNG TY TNHH MỘT THÀNH VIÊN MARSIX,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
AHAI,ANH HẢI - CẦN GIUỘC,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
AHUNG,ANH HÙNG - BÌNH ĐIỀN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHCHIEN,ANH CHIẾN - TÂN PHÚ,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
YOYOQ8,CÔNG TY TNHH DỊCH VỤ LTS,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
ANHCHINH,ANH CHÍNH - QUẬN 7,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHPHUC,ANH PHÚC - QUẬN 8,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHDUNG,ANH DŨNG - KHO GÒ VẤP,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHNHUT,ANH NHỰT - BẾN TRE,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
AUTOGRILLTP,CÔNG TY TNHH AUTOGRILL VFS F&B,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
ANNAMASCENTIA,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
HUNGNHABE,ANH HƯNG - NHÀ BÈ,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
