Mã khách hàng,Tên khách hàng,Channel,Customer Group,Customer Group 1,Customer Group 2,Sale Group
CHICUCTHUYLONGAN,CHI CỤC THÚ Y LONG AN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHIHOA,THỰC PHẨM SẠCH HÒA CA,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHIHONG,"NGƯỜI MUA KHÔNG CUNG CẤP TÊN, ĐỊA CHỈ, MÃ SỐ THUẾ",Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHILOC,DOANH NGHIỆP TƯ NHÂN AN KHƯƠNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHIMODONGTHAP,"NGƯỜI MUA KHÔNG CUNG CẤP TÊN, ĐỊA CHỈ, MÃ SỐ THUẾ",Internal,Internal,Seasonal,Small Account,Internal Daily
CHIPHU,CHỊ PHÚ,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHITAM,CHỊ TÂM,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHITAMQ2,CHỊ TÂM,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHITHAO,CHỊ THẢO,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHIVAGO,CÔNG TY TNHH CHIVAGO CHICKEN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
CHIVANQ10,CÔNG TY TRÁCH NHIỆM HỮU HẠN EARTH CORPORATION VIỆT NAM,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHIVANQ12,CHỊ VÂN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHIVIQ2,CHỊ VI,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHUNGLOGISTICS,Hồ Ngọc Chung,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHUPHU,CHÚ PHÚ,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
DAIPHAT,CÔNG TY CỔ PHẦN VIÊN MINH ĐẠI PHÁT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
DAITANVIET,CÔNG TY CỔ PHẦN ĐẠI TÂN VIỆT,Horeca,Horeca,Horeca,Trader,Horeca LBC
DANGKHOI,CƠ SỞ CHẾ BIẾN VÀ KINH DOANH THỰC PHẨM SẠCH ĐĂNG KHÔI,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
DEDOBBQ,DEDO BBQ,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
DINER,CÔNG TY TNHH DINER VIỆT NAM,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
DINHPHONG,CÔNG TY CP ĐTPT TMDV ĐỈNH PHONG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
DOMA CHICKEN,HỘ KINH DOANH DOMA CHICKEN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
DUC,ANH ĐỨC,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
DUCTHINHPHAT,CÔNG TY TNHH THỰC PHẨM ĐỨC THỊNH PHÁT,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
DUNG,HOÀNG THỊ DUNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
EMIVESTCNBD,CÔNG TY TNHH EMIVEST FEEDMILL VIỆT NAM - CHI NHÁNH CHĂN NUÔI TẠI BÌNH DƯƠNG,Gia Cong,Gia Cong,Gia Cong,Gia Cong,Gia Cong
EMPLOYEES,Nhân viên công công ty TNHH Leboucher,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
F&N,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ F&N,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
FATDADDY,Gà rán Đài Loan,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
FBBBQ,CÔNG TY TNHH TNJ F&B - CHI NHÁNH BB.Q CHICKEN CMT8,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
FEDDY,CÔNG TY TNHH FEDDY,Internal,Internal,Internal,Internal,Internal cong ty
FRITZ FOOD,FRITZ FOOD,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
FSD(KHO50)MM,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM ),Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
FUKUROUTHANH,CHỊ THANH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
GAHANTHUYEN,ANH TIẾN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
GALAXY,CÔNG TY TRÁCH NHIỆM HỮU HẠN GALAXY TG,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
GGG,CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG ( TP HÀ NỘI ),Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
GKP,CÔNG TY TNHH TM & DV GIA KHANG PHÁT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
GLOBALFRESHMEAT,CÔNG TY TNHH GLOBAL FRESH MEAT,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
GNFOODS,CÔNG TY CỔ PHẦN THỰC PHẨM GN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
GOANLAC,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
GOBENTRE,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
GODIAN,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
GOGOVAP,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
GOLDCHICKEN,CHỊ LY - KHÁCH LẺ,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
GOLDSUN,CÔNG TY TNHH GOLDSUN SERVICE,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
GOMYTHO,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
GONGUYENTHITHAP,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
GOTRAVINH,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
GREENIFIQUE,CÔNG TY TNHH GREENIFIQUE,Internal,Internal,Internal,Internal,Internal cong ty
HAGODEN,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ OMG LONG AN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HAITHANH,CÔNG TY TNHH THỰC PHẨM XUẤT KHẨU HAI THANH,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
HAITHINHPHUQUOC,CÔNG TY TNHH HẢI THỊNH PHÚ QUỐC,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HANURI,CHI NHÁNH CÔNG TY TNHH HANURI,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
HANG,CHỊ HẰNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HARDROCK,CÔNG TY CỔ PHẦN LƯỢNG TỬ,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
HASHTAGECOS,CÔNG TY CỔ PHẦN HASHTAG ECOS,Modern Trade,Modern Trade,MTI MN,HASHTAG,MT
HAUHA,CÔNG TY TNHH MTV TM-DV - XD HẬU HÀ,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HIEPPHEPHAM,NGUYỄN VĂN HIỆP,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HIEU,HIẾU,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HINHVUONG,CÔNG TY TNHH HÌNH VUÔNG,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
HKDGREENMART,HKD GREEN MART,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HKDHANURI-DUONGTHITY,HỘ KINH DOANH HA.NU.RI 531,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
HKDHANURI-MAINGOCHANH,HA-NU-RI,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
HKDHANURI-NTNGOCHIEN,HỘ KINH DOANH HA NU RI,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
HKDHANURI-NTHT,HỘ KINH DOANH HÀ NỤ RI,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
HKDHANURI-PHAMTHITHUY,HỘ KINH DOANH HANURI,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
HKDNTNDAO,HỘ KINH DOANH NGUYỄN THỊ NGỌC ĐÀO,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HOANGHUYSGF,CÔNG TY TNHH HOÀNG HUY SÀI GÒN FOOD,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HOTTO,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ SHC VIỆT NAM,Modern Trade,Modern Trade,MTI MN,Other,MT
HUNG,HÙNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HUNGBC,HÙNG (BÌNH CHÁNH ),Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HUNGGV,ANH HÙNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HUONG,CHỊ HƯƠNG- MUA PHẾ LIỆU,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HUONGVIVIET,CÔNG TY TNHH THỰC PHẨM HƯƠNG VỊ VIỆT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
husky,TRẠI CHÓ HUSKY,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HUUTAI,CÔNG TY TNHH MTV DV KT HỮU TÀI,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
HUYVN,CHI NHÁNH CÔNG TY TNHH NHÀ HÀNG MÓN HUẾ,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
HWAINVINA,CÔNG TY TNHH HWAIN VINA,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
JAMESCHICKEN,JAMES CHICKEN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
JAPFA,CÔNG TY TRÁCH NHIỆM HỮU HẠN JAPFA COMFEED VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,Gia Cong,Gia Cong,Gia Cong,Gia Cong,Gia Cong
JASIFOODS,CÔNG TY THỰC PHẨM JASIFOOD,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
JISOO,CÔNG TY TNHH YA HOUSE JISOO COFFEE,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
JOHNSON,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ JOHNSON FAMILY,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
JOINVN,CÔNG TY TNHH PHÂN PHỐI QUỐC TẾ JOIN VIỆT NAM,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
JOLLIBEE,CHI NHÁNH CÔNG TY TNHH JOLLIBEE VIỆT NAM TẠI CẦN GIUỘC,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
JOLLIBEEVP,CÔNG TY TNHH JOLLIBEE VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
KFC,CHI NHÁNH CÔNG TY LIÊN DOANH TNHH KFC VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
KFCAEONBINHTAN,CHI NHÁNH CÔNG TY LIÊN DOANH TNHH KFC VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
KFCBIGCANLAC,CHI NHÁNH CÔNG TY LIÊN DOANH TNHH KFC VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
KFCQUANGMINH,CÔNG TY LIÊN DOANH TNHH KFC VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
KFCSWIRE,CHI NHÁNH CÔNG TY LIÊN DOANH TNHH KFC VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
KIEUTHU,KIỀU THU,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
KITCHEN BAR,SASCO - TRUNG TÂM THƯƠNG MẠI SASCO TÂN SƠN NHẤT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
K-MARKET,CÔNG TY TNHH THƯƠNG MẠI AN CÁT,Modern Trade,Modern Trade,MINI MART,KMART,MT
KHANHNGOC,CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH KHÁNH NGỌC,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
KHOE,NGUYỄN VĂN KHỎE,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
KHTHU,VÕ THỊ THU,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
Lacusina,CÔNG TY TNHH THỰC PHẪM LACUSINA,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
LAGGUNG,NHÀ HÀNG LAGGUNG,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
LENAM,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ LÊ NAM,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
LETHANHLUAN,LÊ THÀNH LUÂN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
LOANQ7,CHỊ LOAN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
LOL,CÔNG TY TNHH LOL,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
LOTTE,CÔNG TY TNHH LOTTE F&G VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIAANGIANG,CHI NHÁNH CÔNG TY TNHH LOTTERIA TỈNH AN GIANG,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIABACLIEU,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI BẠC LIÊU,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIACAMAU,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI TỈNH CÀ MAU,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIACANTHO,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI TP CẦN THƠ,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIADANANG,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI THÀNH PHỐ ĐÀ NẴNG,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIADONGTHAP,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI TỈNH ĐỒNG THÁP,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIAHANOI,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIAHCM,CÔNG TY TNHH LOTTERIA VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIAKHANHHOA,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI KHÁNH HOÀ,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIALONGKHANH,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI ĐỒNG NAI,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIANINHTHUAN,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI TỈNH NINH THUẬN,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIANGHEAN,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI NGHỆ AN,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIAPHANTHIET,LOTTERIA PHAN THIẾT-CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIASOCTRANG,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI TỈNH SÓC TRĂNG,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIATAYNINH,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI TỈNH TÂY NINH,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIATIENGIANG,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI TIỀN GIANG,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIATHANHHOA,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI TỈNH THANH HÓA,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIATRAVINH,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI TỈNH TRÀ VINH,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTERIAVUNGTAU,CHI NHÁNH CÔNG TY TNHH LOTTERIA VIỆT NAM TẠI TỈNH BÀ RỊA-VŨNG TÀU,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
LOTTEVINA,CÔNG TY TNHH LOTTE VINA INTERNATIONAL,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
LT-NAM,LÊ THỊ NAM,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
MAI,CHỊ MAI,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
MAXIMARKNHATRANG,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ AN PHONG TẠI KHÁNH HÒA,Modern Trade,Modern Trade,MTI MN,Other,MT
MCDONALD,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'S HỒ GƯƠM,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SAEON,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SAUCO,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SBDUONG,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SBENTHANH,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SBUUDIEN,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SCELADON,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SDAKAO,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SGOVAP,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SGIGAMALL,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SHOANGDIEU,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SHONGBANG,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SLOTTEGV,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SNGUYENHUE,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SPHAMHUNG,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SPHULAM,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SSAIGONCENTRE,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SSATRA PHAMHUNG,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SSGC,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SSGS,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SSIEUTHISAIGON,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'STANSONNHAT,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'STHAODIEN,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SVINCOMMASTERI,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SVINCOMTHUDUC,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MCDONALD'SVIVO,CÔNG TY CỔ PHẦN GOOD DAY HOSPITALITY,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
MEATFARM,CÔNG TY TNHH THỰC PHẨM MEAT FARM,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
MEBIPHA,CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI MEBIPHA,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
MEDELIMART,HỘ KINH DOANH SUMMER,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
MEGAVIETPHAT,CÔNG TY TNHH MEGA VIỆT PHÁT,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
MEITO,CÔNG TY TNHH VẬN TẢI T&M,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
METROANPHU,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM ),Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
METROBIENHOA,CN CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM) TẠI TP BIÊN HÒA,Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
METROBINHPHU,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM ),Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
METRODIAN,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM ),Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
METROHIEPPHU,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM ),Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
METROHUNGPHU,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM ),Modern Trade,Modern Trade,SUPERMARKET,MEGA MARKET,MT
MIANQUAN,CÔNG TY TNHH BY LA,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
MINHHAN,HỘ KINH DOANH MINH HÂN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
MODUGAVINA,CÔNG TY TNHH MODUGA VINA,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
MOM'STOUCH,CÔNG TY TNHH MOM'S TOUCH VIỆT NAM,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
NAMAN,CÔNG TY TNHH ĐẦU TƯ QUỐC TẾ NAM AN,Modern Trade,Modern Trade,MTI MN,NAM AN,MT
