"MATERIAL","LANGU","TXTMD"
"000000000020000137","E","Nhục đậu khấu"
"000000000020000138","E","Nước cốt dừa Chef's Choice"
"000000000020000139","E","Nước mắm 20N"
"000000000020000140","E","Nước tương thanh dịu"
"000000000020000141","E","Optiform Powder ACE S61"
"000000000020000142","E","Ớt hiểm đỏ lặt cuống"
"000000000020000143","E","(Do not use) Ớt xiêm xanh còn cuống"
"000000000020000144","E","Ớt xiêm xanh lặt cuống"
"000000000020000145","E","Phẩm màu Allura Red"
"000000000020000146","E","Phi lê gà không da đông"
"000000000020000147","E","(Do not use) Phi lê gà không da đông - c"
"000000000020000148","E","Phi lê gà tươi không da"
"000000000020000149","E","Phô mai Cheddar"
"000000000020000150","E","Phụ gia bảo quản Potassium Sorbate"
"000000000020000151","E","Plastic 77mm"
"000000000020000152","E","Plastic Nalo Form SD 45mm Clear"
"000000000020000153","E","Potassium Sorbate"
"000000000020000154","E","Provian A"
"000000000020000155","E","Purasal PA4"
"000000000020000156","E","PVDC Film Gold G609 54mmx1500m WYN 20GR"
"000000000020000157","E","PVDC Film Gold G609 54mmX1600m NO 4.0"
"000000000020000158","E","(Do not use) PVDC Film Gold G609 68mmx15"
"000000000020000159","E","(Do not use) PVDC Film Gold G609 68mmx15"
"000000000020000160","E","PVDC Film Gold G609 68mmX1600m NO 4.0"
"000000000020000161","E","Quả su su"
"000000000020000162","E","Rượu Mai Quế Lộ"
"000000000020000163","E","Rượu trắng"
"000000000020000164","E","(Do not use) Sa tế tôm"
"000000000020000165","E","Sả tươi"
"000000000020000166","E","Sodium erythorbate"
"000000000020000167","E","Sodium Nitrite"
"000000000020000168","E","Sodium Polyphosphates (SHMP) Powder"
"000000000020000169","E","Sữa bột nguyên kem 26% fat"
"000000000020000170","E","(Do not use) Sữa tươi tiệt trùng không đ"
"000000000020000171","E","Tari K7"
"000000000020000172","E","Tari P22"
"000000000020000173","E","Tiêu đen hạt"
"000000000020000174","E","Tiêu trắng xay"
"000000000020000175","E","Tiêu xanh"
"000000000020000176","E","Tinh bột khoai tây"
"000000000020000177","E","(Do not use) Tỏi củ lớn chưa lột vỏ"
"000000000020000178","E","Tỏi lột vỏ"
"000000000020000179","E","Tôm bóc vỏ"
"000000000020000180","E","Transglutaminase TG-B15"
"000000000020000181","E","Trứng gà ác - bông NL"
"000000000020000182","E","Trứng gà ác S35-39 NL"
"000000000020000183","E","Trứng gà CN - bông NL"
"000000000020000184","E","Trứng gà CN S15 NL"
"000000000020000185","E","(Do not use) Trứng gà CN S15.5 NL"
"000000000020000186","E","Trứng gà CN S16 NL"
"000000000020000187","E","(Do not use) Trứng gà CN S16.5 NL"
"000000000020000188","E","Trứng gà CN S17 NL"
"000000000020000189","E","Trứng gà CN S17.5 NL"
"000000000020000190","E","Trứng gà CN S18 NL"
"000000000020000191","E","(Do not use) Trứng gà CN S18.5 NL"
"000000000020000192","E","Trứng gà CN S19 NL"
"000000000020000193","E","(Do not use) Trứng gà CN S19.5 NL"
"000000000020000194","E","Trứng gà CN S20 NL"
"000000000020000195","E","Trứng gà CN S20.5 NL"
"000000000020000196","E","Trứng gà CN S21 NL"
"000000000020000197","E","(Do not use) Trứng gà CN S21.5 NL"
"000000000020000198","E","Trứng gà CN S22 NL"
"000000000020000199","E","(Do not use) Trứng gà CN S22.5 NL"
"000000000020000200","E","Trứng gà CN S23 NL"
"000000000020000201","E","(Do not use) Trứng gà CN S23.5 NL"
"000000000020000202","E","(Do not use) Trứng gà CN so NL"
"000000000020000203","E","Trứng vịt hàng xá NL"
"000000000020000204","E","Tương cà"
"000000000020000205","E","Tương đen"
"000000000020000206","E","Tương ớt"
"000000000020000207","E","Vitacel 600WF"
"000000000020000208","E","Vitacel WF200R"
"000000000020000209","E","Vital Wheat Gluten"
"000000000020000210","E","Vỏ bọc PA 45m(IPLON)"
"000000000020000211","E","Vỏ bọc PA W23mm"
"000000000020000212","E","Xốt Teriyaki 25g"
"000000000020000213","E","Xốt vị BBQ"
"000000000020000214","E","Xốt vị BBQ 50gr"
"000000000020000215","E","Bao tử NL"
"000000000020000216","E","Cật heo NL"
"000000000020000217","E","Cuống họng NL"
"000000000020000218","E","Da đầu có tai NL"
"000000000020000219","E","(Do not use) Da đầu NL"
