subaccount,sub_act,bs_pl,allocate,mapping,bu
"D588BA03D00","D588BA03D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BA04D00","D588BA04D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BA05D00","D588BA05D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BA06D00","D588BA06D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BA07B00","D588BA07B00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BA08B00","D588BA08B00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BA09D00","D588BA09D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BA11D00","D588BA11D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BA12E01","D588BA12E01","PL","SwineFarm_Lang Viet Nam","Added Value",""
"D588BH01D00","D588BH01D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BL01D00","D588BL01D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BM01D00","D588BM01D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BM05D00","D588BM05D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BM08D00","D588BM08D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BM10D00","D588BM10D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BM16D00","D588BM16D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BM19D00","D588BM19D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS00B31","D588BS00B31","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS00C03","D588BS00D73","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS00C04","D588BS00D74","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS00D10","D588BS00D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS00D30","D588BS00D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS00D50","D588BS00D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS00D73","D588BS00D73","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS00D74","D588BS00D74","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS00D80","D588BS00D73","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS00D81","D588BS00D81","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS09D75","D588BS09D75","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS23D75","D588BS23D75","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS23D80","D588BS23D73","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS24D80","D588BS24D73","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS26D75","D588BS26D75","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS27D75","D588BS27D75","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS34D75","D588BS34D75","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS53D75","D588BS53D75","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
